"POLITICAL_UNIT","NAME","WGMS_ID","PSFG_ID","WGI_ID","GLIMS_ID","RGI_ID","REMARKS"
"AF","UNNAMED 13308",13308,,,"G073602E37283N","RGI50-13.10789","Information derived from RGI5.0."
"AF","UNNAMED 13310",13310,,,"G073611E37250N","RGI50-13.10830","Information derived from RGI5.0."
"AF","UNNAMED 13311",13311,,,"G073517E37217N","RGI50-13.11066","Information derived from RGI5.0."
"AF","UNNAMED 13312",13312,,,"G073499E37200N","RGI50-13.11075","Information derived from RGI5.0."
"AF","UNNAMED 13582",13582,,,"G073073E37043N","RGI60-13.16207","Information derived from RGI5.0."
"AF","UNNAMED 13583",13583,,,"G073094E37075N","RGI60-13.16211","Information derived from RGI5.0."
"AF","UNNAMED 13584",13584,,,"G073107E37100N","RGI60-13.16213","Information derived from RGI5.0."
"AF","UNNAMED 13585",13585,,,"G073077E37132N","RGI60-13.16219","Information derived from RGI5.0."
"AF","UNNAMED 13586",13586,,,"G073190E37138N","RGI60-13.16258","Information derived from RGI5.0."
"AF","UNNAMED 13587",13587,,,"G073181E37166N","RGI60-13.16273","Information derived from RGI5.0."
"AF","UNNAMED 13588",13588,,,"G073305E37178N","RGI50-13.16293","Information derived from RGI5.0."
"AF","UNNAMED 13589",13589,,,"G073374E37152N","RGI50-13.16309","Information derived from RGI5.0."
"AF","UNNAMED 13590",13590,,,"G073402E37188N","RGI60-13.16314","Information derived from RGI5.0."
"AF","UNNAMED 13591",13591,,,"G073443E37214N","RGI50-13.16346","Information derived from RGI5.0."
"AF","UNNAMED 13592",13592,,,"G073465E37228N","RGI50-13.16347","Information derived from RGI5.0."
"AF","UNNAMED 13593",13593,,,"G073432E37281N","RGI60-13.16360","Information derived from RGI5.0."
"AF","UNNAMED 13594",13594,,,"G073450E37271N","RGI60-13.16362","Information derived from RGI5.0."
"AF","UNNAMED 13595",13595,,,"G073482E37270N","RGI50-13.16374","Information derived from RGI5.0."
"AF","UNNAMED 13596",13596,,,"G073496E37224N","RGI50-13.16378","Information derived from RGI5.0."
"AF","UNNAMED 13597",13597,,,"G073383E37127N","RGI50-13.16389","Information derived from RGI5.0."
"AF","UNNAMED 13598",13598,,,"G073309E37107N","RGI50-13.16390","Information derived from RGI5.0."
