"POLITICAL_UNIT","NAME","WGMS_ID","YEAR","HIGHEST_ELEVATION","MEDIAN_ELEVATION","LOWEST_ELEVATION","ELEVATION_UNC","LENGTH","LENGTH_UNC","AREA","AREA_UNC","SURVEY_DATE","SURVEY_PLATFORM_METHOD","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS","PUB_IN_FOG","PUB_IN_GGCB"
"99","BERG",1102,1975,4170,,2960,,6.500000,,14.30000,,,,,,,,,
"99","KARTAYGAN",1094,1975,4020,,3270,,2.300000,,1.500000,,,,,,,,,
"99","LAZG-TSITI",1113,1975,3860,,3120,,2.200000,,1.800000,,,,,,,,,
"99","SATPAYEV",1076,1975,4290,,3020,,5.100000,,7.000000,,,,,,,,,
"99","TARAMUZ-I",1103,1975,4600,,3000,,2.800000,,1.400000,,,,,,,,,
"AF","PIR YAKH",10452,2018,5070,,4400,,2.100000,,1.680000,,20189999,,"Abeer Ahmad Sajood, Hedayatullah Arian","Hydrometeorology Department, Geoscience Faculty of Kabul University, Afghanistan",,"Information derived from field report.",,
"AF","UNNAMED 13308",13308,2000,5662,4977,4720,,,,2.580000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13310",13310,2000,5373,5009,4682,,,,3.600000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13311",13311,2000,5348,4855,4523,,,,3.590000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13312",13312,2000,5615,5204,4760,,,,3.500000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13582",13582,2002,5584,5044,4811,,,,2.170000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13583",13583,2002,5522,5083,4862,,,,2.610000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13584",13584,2002,5686,5179,4817,,,,3.760000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13585",13585,2002,5580,5138,4765,,,,2.500000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13586",13586,2002,5899,5325,4832,,,,3.970000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13587",13587,2002,5817,5212,4672,,,,5.970000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13588",13588,2002,5589,5186,4740,,,,3.320000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13589",13589,2002,5784,5042,4744,,,,2.220000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13590",13590,2002,5805,5161,4855,,,,2.620000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13591",13591,2002,5793,5030,4664,,,,7.360000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13592",13592,2002,5790,4998,4657,,,,2.800000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13593",13593,2002,5559,5167,4820,,,,2.070000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13594",13594,2002,5768,5286,4710,,,,3.440000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13595",13595,2002,5694,5111,4857,,,,3.070000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13596",13596,2002,5848,4961,4579,,,,4.200000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13597",13597,2002,5579,5087,4839,,,,4.230000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13598",13598,2002,5877,5177,4880,,,,6.900000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13599",13599,2002,5959,5395,4750,,,,2.430000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13614",13614,2002,5629,5187,4817,,,,2.090000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13615",13615,2002,5641,5086,4837,,,,4.860000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13616",13616,2002,5658,5071,4629,,,,2.080000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13617",13617,2002,6089,5099,4492,,,,9.720000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13618",13618,2002,5670,5043,4800,,,,3.810000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13619",13619,2002,6021,5232,4799,,,,5.050000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13620",13620,2002,6059,5253,4816,,,,5.160000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13621",13621,2002,5452,5004,4811,,,,2.070000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13622",13622,2002,6210,5073,4595,,,,10.12000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13623",13623,2002,6196,5200,4882,,,,4.880000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13624",13624,2002,6147,5102,4393,,,,18.37000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13625",13625,2002,6095,5208,4532,,,,10.99000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13626",13626,2002,6272,5343,4790,,,,17.92000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13627",13627,2002,6114,5220,4591,,,,17.44000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13628",13628,2002,5880,5059,4800,,,,5.730000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13629",13629,2002,5793,5104,4645,,,,7.480000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13634",13634,2002,4988,4331,3920,,,,3.860000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13646",13646,2000,4674,4269,3751,,,,2.380000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13647",13647,2000,4808,4137,3608,,,,2.510000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13648",13648,2000,4979,4082,3689,,,,2.070000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13649",13649,2000,5267,4381,3728,,,,3.970000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13650",13650,2000,4684,4231,3976,,,,2.110000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13651",13651,2000,4961,4329,3923,,,,2.290000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13940",13940,2001,4791,4261,3773,,,,4.470000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13941",13941,2001,4778,4335,3962,,,,2.710000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13942",13942,2001,4707,4376,4110,,,,3.000000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13943",13943,2001,4811,4362,3697,,,,2.250000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13944",13944,2001,4747,4476,3768,,,,2.170000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13945",13945,2001,4704,4395,3911,,,,3.090000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13946",13946,2001,4727,4240,3948,,,,2.330000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13947",13947,2001,4493,4244,3855,,,,2.590000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13948",13948,2001,4748,4352,3895,,,,3.260000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13949",13949,2001,4577,4340,4064,,,,2.460000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13950",13950,2001,4765,4443,4008,,,,5.050000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13951",13951,2001,4691,4348,4048,,,,2.550000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 13981",13981,2002,4535,4242,4015,,,,2.680000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15944",15944,1998,5619,5077,4756,,,,2.280000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15946",15946,1998,6046,5174,4577,,,,12.74000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15980",15980,1998,5650,5044,4769,,,,2.580000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15981",15981,1998,5494,4989,4648,,,,6.620000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15982",15982,1998,5463,5083,4736,,,,2.150000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15983",15983,1998,5465,5076,4765,,,,2.190000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15987",15987,1998,5751,5273,4842,,,,6.730000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15988",15988,1998,5726,5221,4690,,,,7.420000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15991",15991,1998,5562,4964,4634,,,,4.770000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15992",15992,1998,6038,4986,4561,,,,9.580000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15993",15993,1998,5373,4970,4630,,,,3.520000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15994",15994,1998,5439,4937,4687,,,,3.410000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 15995",15995,1998,5840,5088,4462,,,,23.54000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16005",16005,1998,5668,4959,4661,,,,5.280000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16010",16010,1998,5780,5142,4532,,,,18.39000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16012",16012,1998,5561,5113,4657,,,,5.150000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16013",16013,1998,5462,4958,4656,,,,2.280000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16014",16014,1998,5566,5066,4773,,,,4.260000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16018",16018,1998,6243,5152,4438,,,,18.54000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16022",16022,1998,5617,4957,4373,,,,4.780000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16027",16027,1998,5708,4988,4229,,,,4.840000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16028",16028,1998,5414,4943,4585,,,,2.910000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16029",16029,1998,5575,5045,4754,,,,2.960000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16034",16034,1998,5499,4912,4605,,,,2.580000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16035",16035,1998,5441,4968,4635,,,,2.900000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16036",16036,1998,5289,4822,4524,,,,2.480000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16037",16037,1998,5664,5079,4734,,,,5.950000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16039",16039,1998,5524,4939,4536,,,,4.390000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16040",16040,1998,5487,5132,4831,,,,2.640000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16042",16042,1998,5349,4894,4351,,,,5.600000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16046",16046,1998,5403,4843,4250,,,,2.960000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16047",16047,1998,5129,4840,4620,,,,2.060000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16050",16050,1998,5567,4841,4494,,,,2.600000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16056",16056,1998,5684,4822,4254,,,,6.150000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16057",16057,1998,5392,4850,4506,,,,2.780000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16066",16066,1998,5845,4840,4272,,,,5.950000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16082",16082,1998,5927,4787,4313,,,,6.720000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16086",16086,1998,5589,4714,4299,,,,6.500000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16089",16089,1998,5336,4871,4287,,,,6.640000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16516",16516,1998,5656,5230,4805,,,,9.370000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 16530",16530,1998,5866,4997,4341,,,,12.00000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 17193",17193,1998,5666,5267,4847,,,,2.400000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
"AF","UNNAMED 17195",17195,1998,5717,5219,4795,,,,4.220000,,,,,,"RGI5.0","Information derived from RGI5.0.",,
