"POLITICAL_UNIT","NAME","WGMS_ID","Year","TIME_SYSTEM","BEGIN_PERIOD","END_WINTER","END_PERIOD","ELA_PREFIX","ELA","ELA_UNC","MIN_SITES_ACC","MAX_SITES_ACC","MIN_SITES_ABL","MAX_SITES_ABL","ACC_AREA","ACC_AREA_UNC","ABL_AREA","ABL_AREA_UNC","AAR","PUB_IN_MBB","PUB_IN_FOG","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"AF","PIR YAKH",10452,2018,,,,,,,,,,,,,,,,,,,"Sajood A. (HD/GFKU), Hedayatullah A. (HD/GFKU)","HD/GFKU: Hydrometeorology Department, Geoscience Faculty of Kabul University",,"Index point measurements only."
"AQ","ALBERICH",1062,1972,"OTH",19710206,,19720118,,,,,,,,,,,,67.00000,,,,,"Data from Dyurgerov, M.(2002): [3] For detailed reference information consult Dyurgerov's Appendix 1!",
"AQ","ALBERICH",1062,1973,"OTH",19720118,,19730122,,,,,,,,,,,,75.00000,,,,,"Data from Dyurgerov, M.(2002): [3] For detailed reference information consult Dyurgerov's Appendix 1!",
"AQ","ALBERICH",1062,1974,"OTH",19730122,,19740122,,,,,,,,,,,,35.00000,,,,,"Data from Dyurgerov, M.(2002): [3] For detailed reference information consult Dyurgerov's Appendix 1!",
"AQ","ALBERICH",1062,1975,"OTH",19740122,,19750110,,,,,,,,,,,,60.00000,,,,,"Data from Dyurgerov, M.(2002): [3] For detailed reference information consult Dyurgerov's Appendix 1!",
"AQ","ANVERS I ICE CAP",3954,1966,,,,,,,,,,,,,,,,,,,,,"Data from Cogley (2008, updated 2013) based on: Rundle (1970); International Association of Scientific Hydrology Publications, 86, 377-390 p.","Multi-annual observation (87 mm w.e.) evenly distributed to corresponding years."
"AQ","ANVERS I ICE CAP",3954,1967,,,,,,,,,,,,,,,,,,,,,"Data from Cogley (2008, updated 2013) based on: Rundle (1970); International Association of Scientific Hydrology Publications, 86, 377-390 p.","Multi-annual observation (87 mm w.e.) evenly distributed to corresponding years."
"AQ","BAHIA DEL DIABLO",2665,2000,"COM",19990301,,20000228,,427,,,,,,,,,,34.00000,,,"Skvarca P. (IAA), De Angelis H. (IAA), Ermolin E. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,2001,"COM",20000301,,20010228,,375,,,,,,,,,,52.00000,,,"Skvarca P. (IAA), De Angelis H. (IAA), Ermolin E. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,2002,"COM",20010301,,20020228,,438,,,,,,,,,,33.00000,,,"Skvarca P. (IAA), De Angelis H. (IAA), Ermolin E. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
