"POLITICAL_UNIT","NAME","Event_ID","WGMS_ID","EVENT_DATE","ET_SURGE","ET_CALVING","ET_FLOOD","ET_AVALANCHE","ET_TECTONIC","ET_OTHER","EVENT_DESCRIPTION","INVESTIGATOR","SPONSORING_AGENCY","REFERENCE","REMARKS","PUB_IN_FOG"
"AF","UNNAMED 25830",3443,26359,20180712,0,,1,0,0,0,"On July 12, 2018 a GLOF took place in Peshghar village in Khenj District. The fllod originated from the upstream of the river which flowed through the dense settlement of the Peshghor village. The landslides and floodwaters hit villages downstream because of the break-up of the natural banks of the dam. As a result, Peshghor and surrounding villages have been cut off and damages have been reported on structures and buildings. Within the current map extent saricha primary road is potentially affected by the landslides and the overflow of Panjshir River. Arount 198 buildings are located within areas affected by the landslide and 9 within areas affected by the floods. It was estimated that 80 houses are potentially destroyed and 20 ha of cultivated land are lost. About 1.5km of the highway was damaged due to flood as well as inundation by formation of lake in the Panjshir River. This disconnected the people living in upstream of river from the main city in downstream. The intake site of irrigation canal and about 400m canal was completely damaged. Another major damage associated with GLOF is erosion and sedimentation along the river. Due to this flood several hundred square meters of fertile agriculture land was covered with debris of sand and boulders. The main sources of the river was glacier and snow melt. The lake was formed on the low land of the moraine deposited by the glacier melt. Lake was first observed on the satellite image of 6 June 2018 which was 0.031 km^2. The area of the lake increased up to the 0.072 km^2 on 1 July 2018. The average rate of increase was 0.002 km^2 per day. After 1 July the lake area started to decrease and just before the flood on 11 July, 2018 the size of the lake was 0.055 km^2. The water flow width in the river increased in the consecutive time of satellite images from 6 July 2018. This indicates that water from the lake was discharging. Melting of ice core inside the moraine dam resulted the lowering of dam, and allowing lake water to pass into the loose unconsolidated moraine and drain over the ice inside the moraine. The continuous water flow into the moraine consisting ice core eroded the debris and melted the ice into the downstream river valley. Eventually, the regressive erosion and melting of debris and ice core into the moraine dam lead to ultimate failure of dam and sudden release of water from the lake causing the devastating flood along the river downstream. ","Sudan Bikash Maharjan; UNITAR; USAID","International Centre for Integrated Mountain Development, Khumaltar, Lalitpur, Kathmandu, Nepal; UNITAR - UNOSAT, Palais des Nations 10, 1211 Geneva, Switzerland. ; USAID, 1300 Pennsylvania Avenue NW, Washington, DC 20004, USA.","Maharjan (2018): Peshghor Flood in Khenj District, Panjshir Province, AF, 12/07/2018. UNITAR (2018): AF, Peshghor village, Khenj District, Panjshir Province. USAID (2018): AF, Landslide/ Flashflood in Peshghor Khenj District Panjsher Province 12/07/2018.",,
"AQ","NO 38",344,4037,19909999,1,0,0,0,0,0,"The Oktyabr'sky glacier surged for an estimated 6ears, advancing up to 3.3km.",,,"Kotlakov (2008)","1985-1990",
"AR","ALTO DEL PLOMO",133,922,19841114,1,0,1,0,0,0,"On 14 November 1984, Rio del Plomo was dammed by a glacier surge and a lake began to form some days later. On 9 January 1985, the lake had reached 2.8 km in length and 1.1 km in width. Catastrophic floods did not occur, probably due to the fact that water was able to drain over the heavily broken ice at the contact between the advancing glacier front and the opposite rocks of the valley wall. ",,,"Espizua, L. E., Bengochea, J. D. (1990): Surge of Grande del Nevado Glacier (Mendoza, Argentina) in 1984: its evolution through satellite images. Geografiska Annaler, 72 A (3 – 4), 255 - 259.",,
"AR","AZUFRE",3428,2851,20181214,0,0,0,0,1,0,"Between 14/12/2018 and 15/01/2018 eruptive activity was reported on Peteroa volcano with ash and vapor column 400-1300  high. The plume was mainly oriented SE and the deposit area reaches up to 20 km.","Pierre Pitte, Laura Zalazar","IANIGLA-CONICET",,,
"AR","CERRO MARMOLEJO EAST GLACIER",594,8171,99999999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): Satellite imagery makes it possible to infer the existence of surging glaciers because medial moraines of surging glaciers are contorted into sinuous patterns, a telltale sign of a surging glacier. This is the case for a glacier east of Cerro Polleras (at the head of Arroyo Desmochado), for the east glacier of Cerro Marmolejo..."" IAHS1999 ",,,"Event description, Surge Diagnostic features and index based on IAHS1999. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",,
"AR","COLINA (COLINO)",593,8170,19379999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): In Chile and Argentina there are several cases of surging glaciers (...) near Santiago (Juncal Sur, Museo and Colina). CG1998 ",,,"Event description, Surge Diagnostic features and index based on CG1998. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",,
"AR","EAST OF CERRO POLLERAS",592,8169,99999999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""Satellite imagery makes it possible to infer the existence of surging glaciers because medial moraines of surging glaciers are contorted into sinuous patterns, a telltale sign of a surging glacier. This is the case for a glacier east of Cerro Polleras (at the head of Arroyo Desmochado),..."" IAHS1999 ",,,"Event description, Surge Diagnostic features and index based on IAHS1999. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",,
"AR","FRIAS",3444,1347,19429999,0,,1,0,0,0,"Between 1942 and Between 1942 and 1953, a GLOF took place in Frias glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"AR","GLACIER B",1152,8173,19869999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""In the Rio Tupungato Basin, and unnamed glacier to the South of Tupungato Glacier known as Glacier B has advanced 1,100m since 1985-1986."" CG1998 ",,,"Event description, Surge Diagnostic features and index based on CG1998. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.","surge onset: 1985",
"AR","GRANDE DEL JUNCAL GLACIER JUNCAL I",589,8166,19109999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015):  ""photos taken by Helbling, Reichert and Larden between 1908 and 1912 show that, while the glacier fronts were retreating, there was an advance of ""white ice"" over ""grey ice"" in Glaciar Grande Del Juncal between march and November 1910."" ELE1986 ""Glaciar Grande del Juncal experienced a rapid advance in 1910 which was documented by Helbling"" ELE1986 Juncal I glacier: ""Helbling detected a rapid advance in 1910"" LRE1995 Listed as ""surges?"" in table p262 based on Direct observations and/or historical documents in MMH2009 ""In the Rio del Plomo Basin at 33*S, Grande del Juncal Glacier surged in 1910 and some time between 1934 and 1955."" CG1998 reported advance between 0.5-1km ",,,"Event description, Surge Diagnostic features and index based on ELE1986, CG1998. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",,
