"POLITICAL_UNIT","NAME","WGMS_ID","REC_SERIES_ID","INVESTIGATOR","SPONS_AGENCY","REFERENCES","REMARKS"
"AR","AMEGHINO",3800,9,"See REFERENCES and sources therein.","CONICET, IAI","Masiokas, M.H.; Rivera, A.; Espizua, L.E.; Villalba, R.; Delgado, S.; Aravena, J.C. 2009. Palaeogeography, Palaeoclimatology, Palaeoecology 281 (3-4), 242-268.","With minor corrections and updated from Masiokas et al. (2009) Palaeogeogr. Palaeoclimatol. Palaeoecol. 281 (3–4), 242–268. Subject to further revisions as new information becomes available."
"AR","ESPERANZA NORTE",3711,10,"See REFERENCES and sources therein.","CONICET, IAI","Ruiz, L., M. H. Masiokas, and R. Villalba (2012): Climate of the Past, 8(3), 1079-1090.",
"AR","FRIAS",1347,11,"See REFERENCES and sources therein.","CONICET, IAI","Villaba et al. (1990), Arctic Alpine Res 22(3), 215–232. Masiokas et al. (2009), Palaeogeogr. Palaeoclimatol. Palaeoecol. 281(3–4), 242–268.","With minor corrections and updated from Villaba et al. (Arctic Alpine Res 22(3), 215–232, 1990) and Masiokas et al. (Palaeogeogr. Palaeoclimatol. Palaeoecol. 281(3–4), 242–268, 2009). Subject to further revisions as new information becomes available."
"AR","LAGO DEL DESIERTO I",3713,12,"See REFERENCES and sources therein.","CONICET, IAI","Masiokas, M.H.; Luckman, B.; Villalba, R.; Delgado, S.; Skvarca, P.; Ripalta, A. 2009. Palaeogeography, Palaeoclimatology, Palaeoecology 281 (3-4), 351-362.","With minor corrections and updated from Masiokas et al. (2009) Palaeogeogr. Palaeoclimatol. Palaeoecol. 281 (3–4), 351–362. Subject to further revisions as new information becomes available."
"AR","LAGO DEL DESIERTO II",3714,13,"See REFERENCES and sources therein.","CONICET, IAI","Masiokas, M.H.; Luckman, B.; Villalba, R.; Delgado, S.; Skvarca, P.; Ripalta, A. 2009. Palaeogeography, Palaeoclimatology, Palaeoecology 281 (3-4), 351-362.","With minor corrections and updated from Masiokas et al. (2009) Palaeogeogr. Palaeoclimatol. Palaeoecol. 281 (3–4), 351–362. Subject to further revisions as new information becomes available."
"AR","LAGO DEL DESIERTO III",3715,14,"See REFERENCES and sources therein.","CONICET, IAI","Masiokas, M.H.; Luckman, B.; Villalba, R.; Delgado, S.; Skvarca, P.; Ripalta, A. 2009. Palaeogeography, Palaeoclimatology, Palaeoecology 281 (3-4), 351-362.","With minor corrections and updated from Masiokas et al. (2009) Palaeogeogr. Palaeoclimatol. Palaeoecol. 281 (3–4), 351–362. Subject to further revisions as new information becomes available."
"AR","NARVAEZ GRANDE",3799,15,"See REFERENCES and sources therein.","CONICET, IAI","Masiokas, M.H.; Rivera, A.; Espizua, L.E.; Villalba, R.; Delgado, S.; Aravena, J.C. 2009. Palaeogeography, Palaeoclimatology, Palaeoecology 281 (3-4), 242-268.","With minor corrections and updated from Masiokas et al. (2009) Palaeogeogr. Palaeoclimatol. Palaeoecol. 281 (3–4), 242–268. Subject to further revisions as new information becomes available."
"AR","PIEDRAS BLANCAS",3716,16,"See REFERENCES and sources therein.","CONICET, IAI","Masiokas, M.H.; Luckman, B.; Villalba, R.; Delgado, S.; Skvarca, P.; Ripalta, A. 2009. Palaeogeography, Palaeoclimatology, Palaeoecology 281 (3-4), 351-362.","With minor corrections and updated from Masiokas et al. (2009) Palaeogeogr. Palaeoclimatol. Palaeoecol. 281 (3–4), 351–362. Subject to further revisions as new information becomes available."
"AR","SAN LORENZO SUR",3798,17,"See REFERENCES and sources therein.","CONICET, IAI","Masiokas, M.H.; Rivera, A.; Espizua, L.E.; Villalba, R.; Delgado, S.; Aravena, J.C. 2009. Palaeogeography, Palaeoclimatology, Palaeoecology 281 (3-4), 242-268.","With minor corrections and updated from Masiokas et al. (2009) Palaeogeogr. Palaeoclimatol. Palaeoecol. 281 (3–4), 242–268. Subject to further revisions as new information becomes available."
"AR","TORRE",3717,18,"See REFERENCES and sources therein.","CONICET, IAI","Masiokas, M.H.; Luckman, B.; Villalba, R.; Delgado, S.; Skvarca, P.; Ripalta, A. 2009. Palaeogeography, Palaeoclimatology, Palaeoecology 281 (3-4), 351-362.","With minor corrections and updated from Masiokas et al. (2009) Palaeogeogr. Palaeoclimatol. Palaeoecol. 281 (3–4), 351–362. Subject to further revisions as new information becomes available."
"AT","OEDENWINKEL K.",559,37,"See REFERENCES and sources therein.","University of Leeds","CARRIVICK, J. L., BERRY, K., GEILHAUSEN, M., JAMES, W. H., WILLIAMS, C., BROWN, L. E., ... & CARVER, S. J. (2015). Geografiska Annaler: Series A, Physical Geography. Volume 97, Issue 3,  p. 543-562.",
"BO","CHARQUINI NORTE",3718,19,"See REFERENCES and sources therein.",,"Leclercq, P. (PhD thesis, Universiteit Utrecht, 2012) based on Rabatel, A., A. Machaca, B. Francou, and V. Jomelli (2006), J. Glac., 52(176), 110-118 & Rabatel, A., B. Francou, V. Jomelli, P. Naveau, and D. Grancher (2008), Quat. Res., 70(2), 198–212.",
"BO","CHARQUINI OESTE",3719,20,"See REFERENCES and sources therein.",,"Leclercq, P. (PhD thesis, Universiteit Utrecht, 2012) based on Rabatel, A., A. Machaca, B. Francou, and V. Jomelli (2006), J. Glac., 52(176), 110-118 & Rabatel, A., B. Francou, V. Jomelli, P. Naveau, and D. Grancher (2008), Quat. Res., 70(2), 198–212.",
"BO","CHARQUINI SUR",2667,21,"See REFERENCES and sources therein.",,"Leclercq, P. (PhD thesis, Universiteit Utrecht, 2012) based on Rabatel, A., A. Machaca, B. Francou, and V. Jomelli (2006), J. Glac., 52(176), 110-118 & Rabatel, A., B. Francou, V. Jomelli, P. Naveau, and D. Grancher (2008), Quat. Res., 70(2), 198–212.",
"BO","CHARQUINI SURESTE",3720,22,"See REFERENCES and sources therein.",,"Leclercq, P. (PhD thesis, Universiteit Utrecht, 2012) based on Rabatel, A., A. Machaca, B. Francou, and V. Jomelli (2006), J. Glac., 52(176), 110-118 & Rabatel, A., B. Francou, V. Jomelli, P. Naveau, and D. Grancher (2008), Quat. Res., 70(2), 198–212.",
"BO","JANKHU UYU",3721,23,"See REFERENCES and sources therein.",,"Leclercq, P. (PhD thesis, Universiteit Utrecht, 2012) based on Rabatel, A., B. Francou, V. Jomelli, P. Naveau, and D. Grancher (2008), Quaternary Research, 70(2), 198–212.",
"BO","WILA LLUXITA",3722,24,"See REFERENCES and sources therein.",,"Leclercq, P. (PhD thesis, Universiteit Utrecht, 2012) based on Rabatel, A., B. Francou, V. Jomelli, P. Naveau, and D. Grancher (2008), Quaternary Research, 70(2), 198–212.",
"BO","ZONGO",1503,25,"See REFERENCES and sources therein.",,"Leclercq, P. (PhD thesis, Universiteit Utrecht, 2012) based on Rabatel, A., B. Francou, V. Jomelli, P. Naveau, and D. Grancher (2008), Quaternary Research, 70(2), 198–212.",
"CH","FINDELEN",389,40,"See REFERENCES and sources therein.","Axpo, Univ. Zurich, ESA","Rastner, P.; Joerg, P. C.; Huss, M. & Zemp, M. 2016: Global and Planetary Change, 145, 67-77.",
"CH","OBERER GRINDELWALD",444,4,"See REFERENCES and sources therein.",,"Zumbühl, Heinz J. (1980), Denkschriften der Schweizerischen Naturforschenden Gesellschaft (SNG), Band 92. Birkhäuser, Basel/Boston/Stuttgart, 279 pp.",
"CH","RHONE",473,39,"See REFERENCES and sources therein.",,"Mercanton, P.L. (1916): Le glacier du Rhône. In: SNG (Ed.), Vermessungen am Rhonegletscher, Neue Denkschrift der Schweiz. Naturf. Ges., Band LII, Vol. LII, S. 52.","Calculated based on Fig. 10 on page 52."
"CH","RHONE",473,5,"See REFERENCES and sources therein.",,"Zumbühl, Heinz J. & Holzhauser, Hanspeter (1988): Alpengletscher in der Kleinen Eiszeit. Sonderheft zum 125jährigen Jubiläum des SAC. Die Alpen, 64 (3): 129-322.",
"CH","ROSENLAUI",445,6,"See REFERENCES and sources therein.",,"Zumbühl, Heinz J. & Holzhauser, Hanspeter (1988): Alpengletscher in der Kleinen Eiszeit. Sonderheft zum 125jährigen Jubiläum des SAC. Die Alpen, 64 (3): 129-322.",
"CH","UNTERAAR",450,7,"See REFERENCES and sources therein.",,"Zumbühl, Heinz J. & Holzhauser, Hanspeter (1988): Alpengletscher in der Kleinen Eiszeit. Sonderheft zum 125jährigen Jubiläum des SAC. Die Alpen 64, (3): 129-322.",
"CH","UNTERER GRINDELWALD",443,3,"See REFERENCES and sources therein.",,"Zumbühl,1980, Denkschrift der SNG, 92. Birkhäuser, Basel, 279 pp. Zumbühl etal. 1983, Kat. zur Sonderausstellung des Schweiz. Alp. Mus. Bern und des Gletschergartens Luzern, 60 pp. Zumbühl etal.,2008, Glob. Planet. Change, 60 (1-2), 42-57.",
"CL","CIPRESES",2008,26,"See REFERENCES and sources therein.",,"Leclercq, P. (PhD thesis, Universiteit Utrecht, 2012) based on Araneda, et al. (2009), The Holocene, 19(8), 1173–1183 & Le Quesne et al. (2009), Palaeogeography, Palaeoclimatology, Palaeoecology, 281, 334–344.",
"FR","ARGENTIERE",354,27,"See REFERENCES and sources therein.",,"Leclercq (PhD, Universiteit Utrecht, 2012) based on Huybrechts etal 1989, Glaciol. & quat. geol, Kluwer Academic Pub., Dordrecht NL & Bouverot (1958), IAHS, 46, 331-343 & Vivian (1975), Les glaciers des Alpes occidentales, Allier, Grenoble.",
"FR","BOSSONS",355,2,"See REFERENCES and sources therein.",,"Nussbaumer, S. U. and H. J. Zumbühl (2012): Climatic Change, 111(2), 301–334. Data since 1921 from LGGE Grenoble.",
"FR","MER DE GLACE",353,1,"See REFERENCES and sources therein.",,"Nussbaumer, S. U., H. J. Zumbühl, and D. Steiner (2007): Zeitschrift für Gletscherkunde und Glazialgeologie, 40(2005/2006), 1-183. Data since 1912 from LGGE Grenoble.",
"GE","CHALAATI",1110,41,"See REFERENCES and sources therein.",,"Leclercq, P. (Glacier fluctuations, global temperature and sea-level change, PhD thesis, Universiteit Utrecht, 2012) based on Panov, V. D. (1993), Evolution of present-day glacierization of the Caucasus (in Russian), Gidrometeoizdat, St. Petersburg.",
"GL","LYNGMARKSBRAE",3737,28,"See REFERENCES and sources therein.",,"Leclercq, P. (PhD thesis, Universiteit Utrecht, 2012) based on Yde, J. C., and N. T. Knudsen (2007), Annals of Glaciology, 46, 209–214.",
"IS","SOLHEIMAJOKULL W",3122,29,"See REFERENCES and sources therein.",,"Leclercq, P. (PhD thesis, Universiteit Utrecht, 2012) based on Sigurðsson, O. (1998), Jökull, 45, 3–26 & Mackintosh, A. N., A. J. Dugmore, and A. L. Hubbard (2002), Quarternary International, 91, 39–52 & Sigurðsson, O. (personal communication).",
"IT","PRE DE BAR",681,8,"See REFERENCES and sources therein.",,"Imhof, P. (2010). Historical reconstructions for the Miage, Brenva and Pré-de-Bard Glaciers. MSc thesis, Universität Bern, 132 pp & Imhof, P., A. Nesje, and S. U. Nussbaumer (2012). The Holocene 22(2), 235–247.",
"NO","BERGSETBREEN",2290,30,"See REFERENCES and sources therein.",,"Nussbaumer, S. U., A. Nesje, and H. J. Zumbühl (2011): The Holocene, 21(3), 455–471. Data since 1899 from NVE.",
"NO","BOEYABREEN",2297,31,"See REFERENCES and sources therein.",,"Nussbaumer, S. U., A. Nesje, and H. J. Zumbühl (2011): The Holocene, 21(3), 455–471. Data since 1899 from NVE.",
"NO","BONDHUSBREA",318,32,"See REFERENCES and sources therein.",,"Nussbaumer, S. U., A. Nesje, and H. J. Zumbühl (2011): The Holocene, 21(3), 455–471. Data since 1899 from NVE.",
"NO","BUERBREEN",315,33,"See REFERENCES and sources therein.",,"Nussbaumer, S. U., A. Nesje, and H. J. Zumbühl (2011): The Holocene, 21(3), 455–471. Data since 1899 from NVE.",
