"POLITICAL_UNIT","NAME","WGMS_ID","REC_SERIES_ID","YEAR","REFERENCE_YEAR","FRONT_VARIATION","QUALITATIVE_VARIATION","LOWEST_ELEVATION","HIGHEST_ELEVATION","YEAR_UNC","REF_YEAR_UNC","FRONT_VAR_POS_UNC","FRONT_VAR_NEG_UNC","ELEVATION_UNC","MORAINE_DEFINED_MAX","METHOD_CODE","METHOD_REMARKS","PUB_IN_FOG","REMARKS"
"AR","AMEGHINO",3800,9,1765,1765,0,"+X",,,100,100,50,50,,"MPE","RAD","Radiocarbon dating of in situ stumps buried by outwash plain outside moraine",2010,"Estimated date of formation of frontal moraine based on 14C dating of in situ trees buried by outwash plain outside moraine; see Masiokas et al. (2009)"
"AR","AMEGHINO",3800,9,1947,1765,-170,,,,0,100,15,50,,,"PHO","Glacier front position identified in 1947 air photo",2010,
"AR","AMEGHINO",3800,9,1970,1947,-160,,,,0,0,15,15,,,"PHO","Glacier front position identified in 1970 air photo",2010,
"AR","AMEGHINO",3800,9,1986,1970,-3600,,,,0,0,15,15,,,"OTH","Glacier front position identified in 1986 Landsat image",2010,
"AR","AMEGHINO",3800,9,2000,1986,-500,,,,0,0,15,15,,,"OTH","Glacier front position identified in 2000 Landsat image",2010,
"AR","AMEGHINO",3800,9,2005,2000,-390,,,,0,0,15,15,,,"OTH","Glacier front position identified in 2005 ASTER image",2010,
"AR","ESPERANZA NORTE",3711,10,1691,1652,-130,,,,,,,,,,"DEN",,2010,
"AR","ESPERANZA NORTE",3711,10,1792,1691,-210,,,,,,,,,,"DEN",,2010,
"AR","ESPERANZA NORTE",3711,10,1795,1792,100,,,,,,,,,,"DEN",,2010,
"AR","ESPERANZA NORTE",3711,10,1807,1795,-120,,,,,,,,,,"DEN",,2010,
"AR","ESPERANZA NORTE",3711,10,1830,1807,10,,,,,,,,,,"DEN",,2010,
"AR","ESPERANZA NORTE",3711,10,1876,1830,-280,,,,,,,,,,"DEN",,2010,
"AR","ESPERANZA NORTE",3711,10,1927,1876,-610,,,,,,,,,,"DEN",,2010,
"AR","ESPERANZA NORTE",3711,10,1933,1927,-350,,,,,,,,,,"DEN",,2010,
"AR","ESPERANZA NORTE",3711,10,1951,1933,-650,,,,,,,,,,"OTH","direct measurement",2010,
"AR","ESPERANZA NORTE",3711,10,1958,1951,-100,,,,,,,,,,"DEN",,2010,
"AR","ESPERANZA NORTE",3711,10,1972,1958,-200,,,,,,,,,,"OTH","direct measurement",2010,
"AR","ESPERANZA NORTE",3711,10,1978,1972,140,,,,,,,,,,"OTH","direct measurement",2010,
"AR","ESPERANZA NORTE",3711,10,1987,1978,-150,,,,,,,,,,"OTH","direct measurement",2010,
"AR","ESPERANZA NORTE",3711,10,1996,1987,-290,,,,,,,,,,"OTH","direct measurement",2010,
"AR","ESPERANZA NORTE",3711,10,2001,1996,-320,,,,,,,,,,"OTH","direct measurement",2010,
"AR","ESPERANZA NORTE",3711,10,2007,2001,-220,,,,,,,,,,"OTH","direct measurement",,
"AR","FRIAS",1347,11,1639,1639,0,"+X",,,10,10,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and satellite imagery; Dating: Dendrochronology",2010,"MAXIMUM DATE estimated from tree-ring dating of an ice-scarred tree (see Villalba et al. 1990)."
"AR","FRIAS",1347,11,1727,1639,-262,,,,10,10,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and satellite imagery; Dating: Dendrochronology",2010,"MAXIMUM DATE estimated from tree-ring dating of an ice-scarred tree (see Villalba et al. 1990)."
"AR","FRIAS",1347,11,1752,1727,-54,,,,20,10,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and satellite imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines (see Villalba et al. 1990)."
"AR","FRIAS",1347,11,1884,1752,-233,,,,20,20,15,15,,"MME","COM","Mapping: Field surveys, analyses of air photos and satellite imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines (see Villalba et al. 1990)."
"AR","FRIAS",1347,11,1916,1884,-203,,,,20,20,15,15,,"MMP","COM","Mapping: Field surveys, analyses of air photos and satellite imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines (see Villalba et al. 1990)."
"AR","FRIAS",1347,11,1944,1916,-455,,,,0,20,15,15,,,"PHO","Glacier front position identified in 1944 air photo",2010,
"AR","FRIAS",1347,11,1970,1944,-335,,,,0,0,15,15,,,"PHO","Glacier front position identified in 1970 air photo",2010,
"AR","FRIAS",1347,11,1976,1970,402,,,,0,0,5,5,,"MME","OTH","Field surveys and front position measurements by S. Rubulis complemented with the tree-ring dating of a small moraine formed in 1976/77 (see Villalba et al. 1990).",2010,
"AR","FRIAS",1347,11,1977,1976,20,,,,0,0,5,5,,"MME","OTH","Field surveys and front position measurements by S. Rubulis complemented with the tree-ring dating of a small moraine formed in 1976/77 (see Villalba et al. 1990).",2010,
"AR","FRIAS",1347,11,1978,1977,-38,,,,0,0,5,5,,,"OTH","Field surveys and front position measurements by S. Rubulis.",2010,
"AR","FRIAS",1347,11,1979,1978,-22,,,,0,0,10,10,,,"COM","Glacier front position identified in 1979 air photo complemented with field surveys and front position measurements by S. Rubulis",2010,
"AR","FRIAS",1347,11,1980,1979,-26,,,,0,0,5,5,,,"OTH","Field surveys and front position measurements by S. Rubulis.",2010,
"AR","FRIAS",1347,11,1981,1980,-24,,,,0,0,5,5,,,"OTH","Field surveys and front position measurements by S. Rubulis.",2010,
"AR","FRIAS",1347,11,1982,1981,-46,,,,0,0,5,5,,,"OTH","Field surveys and front position measurements by S. Rubulis.",2010,
"AR","FRIAS",1347,11,1983,1982,-66,,,,0,0,5,5,,,"OTH","Field surveys and front position measurements by S. Rubulis.",2010,
"AR","FRIAS",1347,11,1984,1983,-84,,,,0,0,5,5,,,"OTH","Field surveys and front position measurements by S. Rubulis.",2010,
"AR","FRIAS",1347,11,1985,1984,-26,,,,0,0,5,5,,,"OTH","Field surveys and front position measurements by S. Rubulis.",2010,
"AR","FRIAS",1347,11,1986,1985,-10,,,,0,0,25,25,,,"OTH","Glacier front position identified in 1986 Landsat image",2010,
"AR","FRIAS",1347,11,1987,1986,-115,,,,0,0,25,25,,,"OTH","Glacier front position identified in 1987 Landsat image",2010,
"AR","FRIAS",1347,11,2003,1987,-405,,,,0,0,15,15,,,"OTH","Glacier front position identified in 2003 ASTER image",2010,
"AR","FRIAS",1347,11,2007,2003,-102,,,,0,0,25,25,,,"OTH","Glacier front position identified in 2007 Landsat image",,
"AR","FRIAS",1347,11,2009,2007,-156,,,,0,0,10,10,,,"OTH","Glacier front position identified in 2009 Ikonos image",,
"AR","LAGO DEL DESIERTO I",3713,12,1740,1740,0,"+X",,,30,30,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)"
"AR","LAGO DEL DESIERTO I",3713,12,1901,1740,-180,,,,15,30,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)"
"AR","LAGO DEL DESIERTO I",3713,12,1905,1901,-20,,,,15,15,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)"
"AR","LAGO DEL DESIERTO I",3713,12,1984,1905,-480,,,,0,15,15,15,,,"OTH","Glacier front position identified in 1984 Landsat image",2010,
"AR","LAGO DEL DESIERTO I",3713,12,2005,1984,-20,,,,0,0,15,15,,,"OTH","Glacier front position identified in 2005 ASTER image",2010,
"AR","LAGO DEL DESIERTO I",3713,12,2007,2005,-70,,,,0,0,10,15,,,"OTH","Glacier front position identified in 2007 image provided by Google Earth",,
"AR","LAGO DEL DESIERTO II",3714,13,1645,1645,0,"+X",,,30,30,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)"
"AR","LAGO DEL DESIERTO II",3714,13,1743,1645,-40,,,,10,30,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",2010,"MAXIMUM DATE estimated from death date of in situ tree buried by a lateral moraine; see Masiokas et al. (2009)"
"AR","LAGO DEL DESIERTO II",3714,13,1900,1743,-400,,,,20,10,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)"
"AR","LAGO DEL DESIERTO II",3714,13,1936,1900,-90,,,,20,20,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)"
"AR","LAGO DEL DESIERTO II",3714,13,1964,1936,-140,,,,20,20,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)"
"AR","LAGO DEL DESIERTO II",3714,13,1984,1964,-220,,,,0,20,15,15,,,"OTH","Glacier front position identified in 1984 Landsat image",2010,
"AR","LAGO DEL DESIERTO II",3714,13,2005,1984,-70,,,,0,0,15,15,,,"OTH","Glacier front position identified in 2005 ASTER image",2010,
"AR","LAGO DEL DESIERTO II",3714,13,2007,2005,-60,,,,0,0,10,15,,,"OTH","Glacier front position identified in 2007 image provided by Google Earth",,
"AR","LAGO DEL DESIERTO III",3715,14,1655,1655,0,"+X",,,30,30,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)"
"AR","LAGO DEL DESIERTO III",3715,14,1734,1655,-80,,,,30,30,15,15,,"MPE","COM","Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",2010,"MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)"
